0.880 -0.750
0.940 -0.250
1.000 0.000
1.060 0.000
1.120 -0.250
0.880 0.000
0.940 0.000
1.000 0.000
1.060 -0.750
1.120 -0.500
1.880 0.000
1.940 0.000
2.000 0.000
2.060 0.000
2.120 0.000
1.880 0.000
1.940 0.000
2.000 0.000
2.060 0.000
2.120 0.000
2.880 0.000
2.940 0.000
3.000 0.000
3.060 0.000
3.120 -0.250
2.880 -0.250
2.940 0.000
3.000 -0.250
3.060 -0.250
3.120 -0.250
3.880 -1.000
3.940 -1.000
4.000 -0.750
4.060 -0.750
4.120 -1.000
3.880 -0.750
3.940 -0.750
4.000 -1.000
4.060 -1.000
4.120 -1.000
